         20914 function calls (20274 primitive calls) in 0.037 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.000    0.000 server.py:491(<setcomp>)
      144    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
       27    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
        2    0.000    0.000    0.000    0.000 server.py:490(lumiere)
       27    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       40    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      144    0.000    0.000    0.000    0.000 codecs.py:213(setstate)
       27    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 socket.py:409(_real_close)
       35    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.036    0.036 server.py:522(lancer)
        8    0.000    0.000    0.000    0.000 server.py:401(<setcomp>)
       54    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 server.py:444(<setcomp>)
        2    0.000    0.000    0.000    0.000 server.py:491(<listcomp>)
        8    0.000    0.000    0.000    0.000 server.py:176(<listcomp>)
        2    0.000    0.000    0.000    0.000 encoder.py:259(_make_iterencode)
       26    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        1    0.000    0.000    0.000    0.000 server.py:464(<listcomp>)
        3    0.000    0.000    0.000    0.000 server.py:528(<listcomp>)
        3    0.000    0.000    0.000    0.000 random.py:173(randrange)
        2    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
       34    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 server.py:121(__init__)
        1    0.000    0.000    0.000    0.000 server.py:316(<listcomp>)
        2    0.000    0.000    0.000    0.000 server.py:507(<listcomp>)
        1    0.000    0.000    0.000    0.000 socket.py:413(close)
        1    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'copy' of 'set' objects}
        1    0.000    0.000    0.000    0.000 server.py:349(<listcomp>)
        1    0.000    0.000    0.000    0.000 server.py:446(<listcomp>)
        1    0.000    0.000    0.000    0.000 server.py:466(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
        1    0.000    0.000    0.000    0.000 server.py:321(<listcomp>)


